FFIDnew	FFID	VP/SP No	First	Last	First2	Last2	D_traces
6	6	1114	1051	1113	1051		
7	7	1115	1051	1114	1051		
8	8	1116	1051	1115	1051		
9	9	1117	1051	1116	1051		
10	10	1118	1051	1117	1051		
11	11	1119	1051	1118	1051		
12	12	1120	1051	1119	1051		
13	13	1121	1051	1120	1051		
14	14	1122	1051	1121	1051		
15	15	1130	1051	1129	1051		
16	16	1131	1051	1130	1051		
17	17	1132	1051	1131	1051		
18	18	1133	1051	1132	1051		
19	19	1134	1051	1133	1051		
20	20	1135	1051	1134	1051		
21	21	1136	1051	1135	1051		
22	22	1137	1051	1136	1051		
23	23	1138	1051	1137	1051		
24	24	1139	1051	1138	1051		
25	25	1140	1051	1139	1051		
26	26	1141	1051	1140	1051		
27	27	1142	1051	1141	1051		
28	28	1143	1051	1142	1051		
29	29	1144	1051	1143	1051		
30	30	1145	1051	1144	1051		
31	31	1146	1051	1145	1051		
32	32	1147	1051	1146	1051		
33	33	1148	1051	1147	1051		
34	34	1149	1051	1148	1051		
35	35	1150	1051	1149	1051		
36	36	1151	1051	1150	1051		
37	37	1152	1051	1151	1051		
38	38	1153	1051	1152	1051		
39	39	1154	1051	1153	1051		
40	40	1155	1051	1154	1051		
41	41	1156	1051	1155	1051		
42	42	1157	1051	1156	1051		
43	43	1158	1051	1157	1051		
44	44	1159	1051	1158	1051		
45	45	1160	1051	1159	1051		
46	46	1161	1051	1160	1051		
47	47	1162	1051	1161	1051		
48	48	1163	1051	1162	1051		
49	49	1164	1051	1163	1051		
50	50	1165	1051	1164	1051		
51	51	1166	1051	1165	1051		
52	52	1167	1051	1166	1051		
53	53	1168	1051	1167	1051		
54	54	1169	1051	1168	1051		
55	55	1170	1051	1169	1051		
56	56	1171	1051	1170			
57	57	1172	1052	1171			
58	58	1173	1053	1172			
59	59	1174	1054	1173			
60	60	1175	1055	1174			
61	61	1176	1056	1175			
62	62	1177	1057	1176			
63	63	1178	1058	1177			
64	64	1179	1059	1178			
65	65	1180	1060	1179			
66	66	1181	1061	1180			
67	67	1182	1062	1181			
68	68	1183	1063	1182			
69	69	1184	1064	1183			
70	70	1185	1065	1184			
71	71	1186	1066	1185			
72	72	1187	1067	1186			
73	73	1188	1068	1187			
74	74	1189	1069	1188			
75	75	1190	1070	1189			
76	76	1191	1071	1190			
77	77	1192	1072	1191			
78	78	1198	1078	1197			
79	79	1199	1079	1198			
80	80	1200	1080	1199			
81	81	1201	1081	1200			
82	82	1202	1082	1201			
83	83	1203	1083	1202			
84	84	1204	1084	1203			
85	85	1205	1085	1204			
86	86	1206	1086	1205			
87	87	1207	1087	1206			
88	88	1208	1088	1207			
89	89	1209	1089	1208			
90	90	1210	1090	1209			
91	91	1211	1091	1210			
92	92	1212	1092	1211			
93	93	1213	1093	1212			
94	94	1214	1094	1213			
95	95	1215	1095	1214			
96	96	1216	1096	1215			
97	97	1217	1097	1216			
98	98	1218	1098	1217			
99	99	1219	1099	1218			
100	100	1220	1100	1219			
101	101	1221	1101	1220			
102	102	1222	1102	1221			
103	103	1223	1103	1222			
104	104	1224	1104	1223			
105	105	1225	1105	1224			
106	106	1226	1106	1225			
107	107	1227	1107	1226			
108	108	1228	1108	1227			
109	109	1229	1109	1228			
110	110	1230	1110	1229			
111	111	1231	1111	1230			
112	112	1232	1112	1231			
113	113	1234	1114	1233			
114	114	1235	1115	1234			
115	115	1236	1116	1235			
116	116	1237	1117	1236			
117	117	1238	1118	1237			
118	118	1239	1119	1238			
119	119	1240	1120	1239			
120	120	1241	1121	1240			
121	121	1242	1122	1241			
122	122	1243	1123	1242			
123	123	1244	1124	1243			
124	124	1245	1125	1244			
125	125	1246	1126	1245			
126	126	1247	1127	1246			
127	127	1248	1128	1247			
128	128	1249	1129	1248			
129	129	1250	1130	1249			
130	130	1251	1131	1250			
131	131	1252	1132	1251			
132	132	1253	1133	1252			
133	133	1254	1134	1253			
134	134	1255	1135	1254			
135	135	1256	1136	1255			
136	136	1257	1137	1256			
137	137	1258	1138	1257			
138	138	1259	1139	1258			
139	139	1260	1140	1259			
140	140	1261	1141	1260			
141	141	1262	1142	1261			
142	142	1263	1143	1262			
143	143	1264	1144	1263			
144	144	1265	1145	1264			
145	145	1266	1146	1265			
146	146	1267	1147	1266			
147	147	1268	1148	1267			
148	148	1269	1149	1268			
149	149	1270	1150	1269			
150	150	1271	1151	1270			
151	151	1272	1152	1271			
152	152	1273	1153	1272			
153	153	1274	1154	1273			
159	159	1275	1155	1274			
160	160	1276	1156	1275			
161	161	1277	1157	1276			
162	162	1278	1158	1277			
163	163	1279	1159	1278			
164	164	1280	1160	1279			
165	165	1281	1161	1280			
166	166	1282	1162	1281			
167	167	1283	1163	1282			
168	168	1284	1164	1283			
169	169	1285	1165	1284			
170	170	1291	1171	1290			
171	171	1292	1172	1291			
172	172	1293	1173	1292			
173	173	1294	1174	1293			
174	174	1295	1175	1294			
175	175	1296	1176	1295			
176	176	1297	1177	1296			
177	177	1298	1178	1297			
178	178	1299	1179	1298			
179	179	1300	1180	1299			
180	180	1301	1181	1300			
181	181	1302	1182	1301			
182	182	1303	1183	1302			
183	183	1304	1184	1303			
184	184	1305	1185	1304			
185	185	1306	1186	1305			
186	186	1307	1187	1306			
187	187	1308	1188	1307			
188	188	1309	1189	1308			
189	189	1310	1190	1309			
190	190	1311	1191	1310			
191	191	1312	1192	1311			
192	192	1313	1193	1312			
193	193	1314	1194	1313			
194	194	1315	1195	1314			
195	195	1316	1196	1315			
196	196	1317	1197	1316			
197	197	1318	1198	1317			
198	198	1319	1199	1318			
199	199	1320	1200	1319			
200	200	1321	1201	1320			
201	201	1322	1202	1321			
202	202	1323	1203	1322			
203	203	1324	1204	1323			
204	204	1325	1205	1324			
205	205	1326	1206	1325			
206	206	1327	1207	1326			
207	207	1328	1208	1327			
208	208	1329	1209	1328			
209	209	1330	1210	1329			
210	210	1331	1211	1330			
211	211	1332	1212	1331			
212	212	1333	1213	1332			
213	213	1334	1214	1333			
214	214	1335	1215	1334			
215	215	1336	1216	1335			
216	216	1337	1217	1336			
217	217	1338	1218	1337			
218	218	1339	1219	1338			
219	219	1340	1220	1339			
220	220	1341	1221	1340			
221	221	1342	1222	1341			
222	222	1343	1223	1342			
223	223	1344	1224	1343			
224	224	1345	1225	1344			
225	225	1346	1226	1345			
226	226	1347	1227	1346			
227	227	1348	1228	1347			
228	228	1349	1229	1348			
229	229	1350	1230	1349			
230	230	1351	1231	1350			
231	231	1352	1232	1351			
232	232	1353	1233	1352			
233	233	1354	1234	1353			
234	234	1355	1235	1354			
235	235	1356	1236	1355			
236	236	1357	1237	1356			
237	237	1358	1238	1357			
238	238	1359	1239	1358			
239	239	1360	1240	1359			
240	240	1361	1241	1360			
241	241	1362	1242	1361			
242	242	1363	1243	1362			
243	243	1364	1244	1363			
244	244	1365	1245	1364			
245	245	1366	1246	1365			
246	246	1367	1247	1366			
247	247	1368	1248	1367			
248	248	1369	1249	1368			
249	249	1370	1250	1369			
250	250	1371	1251	1370			
251	251	1372	1252	1371			
252	252	1373	1253	1372			
253	253	1374	1254	1373			
254	254	1375	1255	1374			
255	255	1376	1256	1375			
256	256	1377	1257	1376			
257	257	1378	1258	1377			
258	258	1379	1259	1378			
259	259	1380	1260	1379			
260	260	1381	1261	1380			
261	261	1382	1262	1381			
262	262	1383	1263	1382			
263	263	1384	1264	1383			
264	264	1385	1265	1384			
265	265	1386	1266	1385			
266	266	1387	1267	1386			
267	267	1388	1268	1387			
268	268	1389	1269	1388			
269	269	1390	1270	1389			
270	270	1391	1271	1390			
271	271	1392	1272	1391			
272	272	1393	1273	1392			
273	273	1394	1274	1393			
274	274	1395	1275	1394			
275	275	1396	1276	1395			
276	276	1397	1277	1396			
277	277	1398	1278	1397			
278	278	1399	1279	1398			
279	279	1400	1280	1399			
280	280	1401	1281	1400			
281	281	1402	1282	1401			
282	282	1403	1283	1402			
283	283	1404	1284	1403			
284	284	1405	1285	1404			
285	285	1406	1286	1405			
286	286	1407	1287	1406			
287	287	1408	1288	1407			
288	288	1409	1289	1408			
289	289	1410	1290	1409			
290	290	1411	1291	1410			
291	291	1412	1292	1411			
292	292	1413	1293	1412			
293	293	1414	1294	1413			
294	294	1415	1295	1414			
295	295	1416	1296	1415			
296	296	1417	1297	1416			
297	297	1418	1298	1417			
298	298	1419	1299	1418			
299	299	1420	1300	1419			
300	300	1421	1301	1420			
301	301	1422	1302	1421			
302	302	1423	1303	1422			
303	303	1424	1304	1423			
304	304	1425	1305	1424			
305	305	1426	1306	1425			
306	306	1427	1307	1426			
307	307	1428	1308	1427			
308	308	1429	1309	1428			
309	309	1430	1310	1429			
